time	V(d)	Id(J1)
Step Information: Vgs=-5  (Step: 1/6)
3.786931071995034e-01	7.573862e+00	2.457142e-11
3.889331071995137e-01	7.778662e+00	2.469773e-11
3.991731071995239e-01	7.983462e+00	2.482594e-11
4.094131071995342e-01	8.188262e+00	2.495597e-11
4.196531071995444e-01	8.393063e+00	2.508776e-11
4.298931071995546e-01	8.597862e+00	2.522122e-11
4.401331071995649e-01	8.802662e+00	2.535631e-11
4.503731071995751e-01	9.007463e+00	2.549295e-11
4.606131071995854e-01	9.212262e+00	2.563109e-11
4.708531071995956e-01	9.417062e+00	2.577067e-11
4.810931071996059e-01	9.621862e+00	2.591165e-11
4.913331071996161e-01	9.826662e+00	2.605396e-11
5.015731071996176e-01	1.003146e+01	2.619758e-11
5.118131071995710e-01	1.023626e+01	2.634244e-11
5.220531071995244e-01	1.044106e+01	2.648852e-11
5.322931071994778e-01	1.064586e+01	2.663576e-11
5.425331071994312e-01	1.085066e+01	2.678413e-11
5.527731071993846e-01	1.105546e+01	2.693359e-11
5.630131071993379e-01	1.126026e+01	2.708411e-11
5.732531071992913e-01	1.146506e+01	2.723566e-11
5.834931071992447e-01	1.166986e+01	2.738820e-11
5.937331071991981e-01	1.187466e+01	2.754169e-11
6.039731071991515e-01	1.207946e+01	2.769612e-11
6.142131071991049e-01	1.228426e+01	2.785146e-11
6.244531071990583e-01	1.248906e+01	2.800767e-11
6.346931071990117e-01	1.269386e+01	2.816473e-11
6.449331071989651e-01	1.289866e+01	2.832261e-11
6.551731071989185e-01	1.310346e+01	2.848130e-11
6.654131071988719e-01	1.330826e+01	2.864077e-11
6.756531071988253e-01	1.351306e+01	2.880100e-11
6.858931071987787e-01	1.371786e+01	2.896196e-11
6.961331071987321e-01	1.392266e+01	2.912364e-11
7.063731071986855e-01	1.412746e+01	2.928602e-11
7.166131071986389e-01	1.433226e+01	2.944908e-11
7.268531071985923e-01	1.453706e+01	2.961279e-11
7.370931071985457e-01	1.474186e+01	2.977715e-11
7.473331071984991e-01	1.494666e+01	2.994214e-11
7.575731071984525e-01	1.515146e+01	3.010774e-11
7.678131071984059e-01	1.535626e+01	3.027393e-11
7.780531071983593e-01	1.556106e+01	3.044070e-11
7.882931071983127e-01	1.576586e+01	3.060803e-11
7.985331071982661e-01	1.597066e+01	3.077592e-11
8.087731071982195e-01	1.617546e+01	3.094435e-11
8.190131071981729e-01	1.638026e+01	3.111330e-11
8.292531071981263e-01	1.658506e+01	3.128277e-11
8.394931071980797e-01	1.678986e+01	3.145273e-11
8.497331071980331e-01	1.699466e+01	3.162319e-11
8.599731071979865e-01	1.719946e+01	3.179412e-11
8.702131071979399e-01	1.740426e+01	3.196552e-11
8.804531071978933e-01	1.760906e+01	3.213737e-11
8.906931071978467e-01	1.781386e+01	3.230967e-11
9.009331071978001e-01	1.801866e+01	3.248241e-11
9.111731071977535e-01	1.822346e+01	3.265557e-11
9.214131071977069e-01	1.842826e+01	3.282914e-11
9.316531071976603e-01	1.863306e+01	3.300313e-11
9.418931071976137e-01	1.883786e+01	3.317752e-11
9.521331071975671e-01	1.904266e+01	3.335229e-11
9.623731071975204e-01	1.924746e+01	3.352744e-11
9.726131071974738e-01	1.945226e+01	3.370297e-11
9.828531071974272e-01	1.965706e+01	3.387887e-11
9.930931071973806e-01	1.986186e+01	3.405513e-11
9.999931071973492e-01	1.999986e+01	3.417409e-11
1.000000000000000e+00	2.000000e+01	3.417415e-11
Step Information: Vgs=-2  (Step: 4/6)
0.000000000000000e+00	0.000000e+00	2.513582e-12
3.331071992655054e-04	6.662144e-03	1.722769e-05
1.163107199265508e-03	2.326214e-02	5.965759e-05
2.483107199265511e-03	4.966214e-02	1.256775e-04
4.283107199265499e-03	8.566214e-02	2.128164e-04
6.543107199265407e-03	1.308621e-01	3.175029e-04
9.243107199265297e-03	1.848621e-01	4.356754e-04
1.005310719926526e-02	2.010621e-01	4.696625e-04
1.326310719926513e-02	2.652622e-01	5.976998e-04
1.684310719926499e-02	3.368621e-01	7.279551e-04
2.029310719926485e-02	4.058622e-01	8.409561e-04
2.446310719926468e-02	4.892621e-01	9.611134e-04
2.889310719926450e-02	5.778621e-01	1.069045e-03
3.053310719926443e-02	6.106622e-01	1.103844e-03
3.523310719926562e-02	7.046621e-01	1.188120e-03
4.008310719926711e-02	8.016621e-01	1.251039e-03
4.077310719926732e-02	8.154622e-01	1.258004e-03
4.572310719926884e-02	9.144621e-01	1.293445e-03
5.083310719927040e-02	1.016662e+00	1.303570e-03
5.101310719927046e-02	1.020262e+00	1.303580e-03
6.125310719927359e-02	1.225062e+00	1.304178e-03
7.149310719927049e-02	1.429862e+00	1.304776e-03
8.173310719926652e-02	1.634662e+00	1.305374e-03
9.197310719926255e-02	1.839462e+00	1.305972e-03
1.022131071992586e-01	2.044262e+00	1.306569e-03
1.124531071992546e-01	2.249062e+00	1.307167e-03
1.226931071992506e-01	2.453862e+00	1.307765e-03
1.329331071992577e-01	2.658662e+00	1.308362e-03
1.431731071992679e-01	2.863462e+00	1.308960e-03
1.534131071992782e-01	3.068262e+00	1.309558e-03
1.636531071992884e-01	3.273062e+00	1.310156e-03
1.738931071992987e-01	3.477862e+00	1.310754e-03
1.841331071993089e-01	3.682662e+00	1.311351e-03
1.943731071993191e-01	3.887462e+00	1.311949e-03
2.046131071993294e-01	4.092262e+00	1.312547e-03
2.148531071993396e-01	4.297062e+00	1.313144e-03
2.250931071993499e-01	4.501862e+00	1.313742e-03
2.353331071993601e-01	4.706662e+00	1.314340e-03
2.455731071993703e-01	4.911462e+00	1.314938e-03
2.558131071993806e-01	5.116262e+00	1.315535e-03
2.660531071993908e-01	5.321062e+00	1.316133e-03
2.762931071994010e-01	5.525862e+00	1.316731e-03
2.865331071994113e-01	5.730662e+00	1.317328e-03
2.967731071994215e-01	5.935462e+00	1.317926e-03
3.070131071994318e-01	6.140262e+00	1.318524e-03
3.172531071994420e-01	6.345062e+00	1.319122e-03
3.274931071994522e-01	6.549862e+00	1.319719e-03
3.377331071994625e-01	6.754662e+00	1.320317e-03
3.479731071994727e-01	6.959462e+00	1.320915e-03
3.582131071994830e-01	7.164262e+00	1.321513e-03
3.684531071994932e-01	7.369062e+00	1.322110e-03
3.786931071995034e-01	7.573862e+00	1.322708e-03
3.889331071995137e-01	7.778662e+00	1.323306e-03
3.991731071995239e-01	7.983462e+00	1.323903e-03
4.094131071995342e-01	8.188262e+00	1.324501e-03
4.196531071995444e-01	8.393063e+00	1.325099e-03
4.298931071995546e-01	8.597862e+00	1.325696e-03
4.401331071995649e-01	8.802662e+00	1.326294e-03
4.503731071995751e-01	9.007463e+00	1.326892e-03
4.606131071995854e-01	9.212262e+00	1.327490e-03
4.708531071995956e-01	9.417062e+00	1.328087e-03
4.810931071996059e-01	9.621862e+00	1.328685e-03
4.913331071996161e-01	9.826662e+00	1.329283e-03
5.015731071996176e-01	1.003146e+01	1.329880e-03
5.118131071995710e-01	1.023626e+01	1.330478e-03
5.220531071995244e-01	1.044106e+01	1.331076e-03
5.322931071994778e-01	1.064586e+01	1.331673e-03
5.425331071994312e-01	1.085066e+01	1.332271e-03
5.527731071993846e-01	1.105546e+01	1.332869e-03
5.630131071993379e-01	1.126026e+01	1.333466e-03
5.732531071992913e-01	1.146506e+01	1.334064e-03
5.834931071992447e-01	1.166986e+01	1.334662e-03
5.937331071991981e-01	1.187466e+01	1.335259e-03
6.039731071991515e-01	1.207946e+01	1.335857e-03
6.142131071991049e-01	1.228426e+01	1.336455e-03
6.244531071990583e-01	1.248906e+01	1.337052e-03
6.346931071990117e-01	1.269386e+01	1.337650e-03
6.449331071989651e-01	1.289866e+01	1.338248e-03
6.551731071989185e-01	1.310346e+01	1.338845e-03
6.654131071988719e-01	1.330826e+01	1.339443e-03
6.756531071988253e-01	1.351306e+01	1.340041e-03
6.858931071987787e-01	1.371786e+01	1.340638e-03
6.961331071987321e-01	1.392266e+01	1.341236e-03
7.063731071986855e-01	1.412746e+01	1.341834e-03
7.166131071986389e-01	1.433226e+01	1.342432e-03
7.268531071985923e-01	1.453706e+01	1.343029e-03
7.370931071985457e-01	1.474186e+01	1.343627e-03
7.473331071984991e-01	1.494666e+01	1.344224e-03
7.575731071984525e-01	1.515146e+01	1.344822e-03
7.678131071984059e-01	1.535626e+01	1.345420e-03
7.780531071983593e-01	1.556106e+01	1.346017e-03
7.882931071983127e-01	1.576586e+01	1.346615e-03
7.985331071982661e-01	1.597066e+01	1.347213e-03
8.087731071982195e-01	1.617546e+01	1.347810e-03
8.190131071981729e-01	1.638026e+01	1.348408e-03
8.292531071981263e-01	1.658506e+01	1.349006e-03
8.394931071980797e-01	1.678986e+01	1.349603e-03
8.497331071980331e-01	1.699466e+01	1.350201e-03
8.599731071979865e-01	1.719946e+01	1.350799e-03
8.702131071979399e-01	1.740426e+01	1.351396e-03
8.804531071978933e-01	1.760906e+01	1.351994e-03
8.906931071978467e-01	1.781386e+01	1.352592e-03
9.009331071978001e-01	1.801866e+01	1.353189e-03
9.111731071977535e-01	1.822346e+01	1.353787e-03
9.214131071977069e-01	1.842826e+01	1.354384e-03
9.316531071976603e-01	1.863306e+01	1.354982e-03
9.418931071976137e-01	1.883786e+01	1.355580e-03
9.521331071975671e-01	1.904266e+01	1.356177e-03
9.623731071975204e-01	1.924746e+01	1.356775e-03
9.726131071974738e-01	1.945226e+01	1.357373e-03
9.828531071974272e-01	1.965706e+01	1.357970e-03
9.930931071973806e-01	1.986186e+01	1.358568e-03
