time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
1.035508593013517e-02	1.385767e+01	1.327186e+01	2.201592e-03	-5.979091e-08
1.035513119454538e-02	1.385688e+01	1.327012e+01	2.188531e-03	-2.012735e-07
1.035517077166570e-02	1.385571e+01	1.326821e+01	2.180205e-03	-2.845889e-07
1.035520919737856e-02	1.385429e+01	1.326614e+01	2.174102e-03	-3.433231e-07
1.035525084082243e-02	1.385254e+01	1.326372e+01	2.169103e-03	-3.900983e-07
1.035529233128165e-02	1.385063e+01	1.326119e+01	2.165352e-03	-4.240061e-07
1.035533971436856e-02	1.384830e+01	1.325819e+01	2.162130e-03	-4.512938e-07
1.035539940342734e-02	1.384521e+01	1.325431e+01	2.159166e-03	-4.745626e-07
1.035546943589760e-02	1.384146e+01	1.324965e+01	2.156699e-03	-4.918778e-07
1.035555354696197e-02	1.383683e+01	1.324397e+01	2.154584e-03	-5.040235e-07
1.035577414117948e-02	1.382442e+01	1.322888e+01	2.150928e-03	-5.163179e-07
1.035775061945969e-02	1.371206e+01	1.309292e+01	2.127199e-03	-5.278609e-07
1.036422596490072e-02	1.334513e+01	1.264935e+01	2.050897e-03	-5.521054e-07
1.036907533659561e-02	1.307175e+01	1.231929e+01	1.995304e-03	-5.570399e-07
1.039369085740167e-02	1.170185e+01	1.067030e+01	1.721296e-03	-5.469554e-07
1.041369085740167e-02	1.060849e+01	9.359400e+00	1.503477e-03	-5.384559e-07
1.043369085740167e-02	9.530186e+00	8.070704e+00	1.289778e-03	-5.303887e-07
1.045369085740167e-02	8.467882e+00	6.805657e+00	1.079949e-03	-5.227816e-07
1.047369085740167e-02	7.420697e+00	5.563038e+00	8.738251e-04	-5.156121e-07
1.049369085740167e-02	6.387802e+00	4.341690e+00	6.711817e-04	-5.088590e-07
1.051369085740167e-02	5.368413e+00	3.140520e+00	4.718732e-04	-5.025037e-07
1.053369085740167e-02	4.361790e+00	1.958496e+00	2.756949e-04	-4.965304e-07
1.055369085740166e-02	3.367232e+00	7.946375e-01	8.251877e-05	-4.909276e-07
1.057369085740166e-02	2.384080e+00	-3.519798e-01	-1.078412e-04	-4.856911e-07
1.059369085740166e-02	1.411709e+00	-1.482231e+00	-2.954996e-04	-4.808354e-07
1.061619085740166e-02	3.276882e-01	-2.738694e+00	-5.035761e-04	-4.759023e-07
1.062119085740166e-02	8.926359e-02	-3.014140e+00	-5.494673e-04	-4.757520e-07
