v1	V(a)	V(vcc)	I(R1)
1.530000000000000e+02	1.524036e+02	1.530000e+02	1.268974e-04
1.540000000000000e+02	1.533997e+02	1.540000e+02	1.277268e-04
1.550000000000000e+02	1.543958e+02	1.550000e+02	1.285562e-04
1.560000000000000e+02	1.553919e+02	1.560000e+02	1.293856e-04
1.570000000000000e+02	1.563880e+02	1.570000e+02	1.302150e-04
1.580000000000000e+02	1.573841e+02	1.580000e+02	1.310444e-04
1.590000000000000e+02	1.583802e+02	1.590000e+02	1.318738e-04
1.600000000000000e+02	1.593763e+02	1.600000e+02	1.327031e-04
1.610000000000000e+02	1.603724e+02	1.610000e+02	1.335326e-04
1.620000000000000e+02	1.613685e+02	1.620000e+02	1.343619e-04
1.630000000000000e+02	1.623646e+02	1.630000e+02	1.351913e-04
1.640000000000000e+02	1.633607e+02	1.640000e+02	1.360207e-04
1.650000000000000e+02	1.643568e+02	1.650000e+02	1.368501e-04
1.660000000000000e+02	1.653529e+02	1.660000e+02	1.376795e-04
1.670000000000000e+02	1.663490e+02	1.670000e+02	1.385089e-04
1.680000000000000e+02	1.673451e+02	1.680000e+02	1.393383e-04
1.690000000000000e+02	1.683412e+02	1.690000e+02	1.401677e-04
1.700000000000000e+02	1.693373e+02	1.700000e+02	1.409971e-04
1.710000000000000e+02	1.703334e+02	1.710000e+02	1.418265e-04
1.720000000000000e+02	1.713295e+02	1.720000e+02	1.426559e-04
1.730000000000000e+02	1.723256e+02	1.730000e+02	1.434853e-04
1.740000000000000e+02	1.733217e+02	1.740000e+02	1.443147e-04
1.750000000000000e+02	1.743178e+02	1.750000e+02	1.451441e-04
1.760000000000000e+02	1.753139e+02	1.760000e+02	1.459735e-04
1.770000000000000e+02	1.763100e+02	1.770000e+02	1.468029e-04
1.780000000000000e+02	1.773061e+02	1.780000e+02	1.476323e-04
1.790000000000000e+02	1.783022e+02	1.790000e+02	1.484617e-04
1.800000000000000e+02	1.792983e+02	1.800000e+02	1.492911e-04
1.810000000000000e+02	1.802944e+02	1.810000e+02	1.501204e-04
1.820000000000000e+02	1.812905e+02	1.820000e+02	1.509498e-04
1.830000000000000e+02	1.822866e+02	1.830000e+02	1.517792e-04
1.840000000000000e+02	1.832827e+02	1.840000e+02	1.526086e-04
1.850000000000000e+02	1.842788e+02	1.850000e+02	1.534380e-04
1.860000000000000e+02	1.852749e+02	1.860000e+02	1.542674e-04
1.870000000000000e+02	1.862710e+02	1.870000e+02	1.550968e-04
1.880000000000000e+02	1.872672e+02	1.880000e+02	1.559262e-04
1.890000000000000e+02	1.882632e+02	1.890000e+02	1.567556e-04
1.900000000000000e+02	1.892594e+02	1.900000e+02	1.575850e-04
1.910000000000000e+02	1.902554e+02	1.910000e+02	1.584144e-04
1.920000000000000e+02	1.912516e+02	1.920000e+02	1.592438e-04
1.930000000000000e+02	1.922477e+02	1.930000e+02	1.600732e-04
1.940000000000000e+02	1.932438e+02	1.940000e+02	1.609026e-04
1.950000000000000e+02	1.942399e+02	1.950000e+02	1.617320e-04
1.960000000000000e+02	1.952360e+02	1.960000e+02	1.625614e-04
1.970000000000000e+02	1.962321e+02	1.970000e+02	1.633908e-04
1.980000000000000e+02	1.972282e+02	1.980000e+02	1.642202e-04
1.990000000000000e+02	1.982243e+02	1.990000e+02	1.650496e-04
