time	V(a1)	V(g)	V(l) Step Information: A=10µ  (Step: 1/3)
4.349908360371426e-04	1.418809e+01	2.582766e-03	2.382295e-03
4.749908360371426e-04	1.554254e+01	2.814236e-03	2.608357e-03
5.149908360371426e-04	1.690351e+01	3.046610e-03	2.835487e-03
5.749908360371428e-04	1.895627e+01	3.396719e-03	3.178035e-03
6.349908360371429e-04	2.102135e+01	3.748487e-03	3.522599e-03
7.149908360371431e-04	2.379135e+01	4.219788e-03	3.984762e-03
7.224908360371432e-04	2.405194e+01	4.268338e-03	4.028632e-03
7.324908360371432e-04	2.439965e+01	4.343879e-03	4.088126e-03
7.620330575603826e-04	2.542813e+01	4.583320e-03	4.265559e-03
8.420330575603827e-04	2.822234e+01	5.257444e-03	4.749783e-03
9.420330575603830e-04	3.173030e+01	6.118043e-03	5.359005e-03
1.062033057560383e-03	3.595434e+01	7.167007e-03	6.093739e-03
1.202033057560384e-03	4.088955e+01	8.406926e-03	6.953480e-03
1.362033057560384e-03	4.652010e+01	9.838167e-03	7.935862e-03
1.444533057560384e-03	4.941242e+01	1.058099e-02	8.441168e-03
1.449533057560384e-03	4.958732e+01	1.064334e-02	8.473363e-03
1.454230549191110e-03	4.975150e+01	1.077107e-02	8.510021e-03
1.457926445726232e-03	4.988040e+01	1.103276e-02	8.553851e-03
1.461387302650485e-03	5.000061e+01	1.159309e-02	8.623970e-03
1.465110016703166e-03	5.012901e+01	1.281266e-02	8.756041e-03
1.468998202948136e-03	5.026157e+01	1.517014e-02	8.993269e-03
1.473184615673480e-03	5.040265e+01	1.954639e-02	9.416760e-03
1.473199014064679e-03	5.040311e+01	1.956538e-02	9.418584e-03
1.473227810847076e-03	5.040366e+01	1.961933e-02	9.429187e-03
1.473271323742035e-03	5.040294e+01	2.003540e-02	9.554569e-03
1.473292370103121e-03	5.040017e+01	2.067706e-02	9.769425e-03
1.473310288245851e-03	5.039337e+01	2.202774e-02	1.024619e-02
1.473324202045424e-03	5.038186e+01	2.421127e-02	1.102535e-02
1.473337527889702e-03	5.036061e+01	2.814417e-02	1.241475e-02
1.473351030851712e-03	5.032183e+01	3.540444e-02	1.492714e-02
1.473364785765605e-03	5.025159e+01	4.863197e-02	1.939647e-02
1.473379898151544e-03	5.011935e+01	7.488479e-02	2.802869e-02
1.473393848058300e-03	4.991483e+01	1.168807e-01	4.146911e-02
1.473408647656668e-03	4.956834e+01	1.914367e-01	6.454626e-02
1.473423099595692e-03	4.905909e+01	3.078090e-01	9.903558e-02
1.473438658686310e-03	4.830014e+01	4.967081e-01	1.516810e-01
1.473455002231181e-03	4.732653e+01	7.691110e-01	2.214767e-01
