time	V(D,G)	V(a1)	V(l)
9.424379681950427e-03	1.961637e+00	1.808403e+01	1.324729e-02
9.424497849971831e-03	1.965354e+00	1.815290e+01	1.123257e-02
9.424618533412801e-03	1.968625e+00	1.820582e+01	9.667623e-03
9.424752088423107e-03	1.971802e+00	1.824938e+01	8.351528e-03
9.424891577641344e-03	1.974765e+00	1.828293e+01	7.312059e-03
9.425045058659582e-03	1.977729e+00	1.830980e+01	6.448525e-03
9.425203650381011e-03	1.980560e+00	1.832969e+01	5.775586e-03
9.425381957811646e-03	1.983547e+00	1.834535e+01	5.206092e-03
9.425560754058844e-03	1.986393e+00	1.835597e+01	4.776049e-03
9.425769456946372e-03	1.989584e+00	1.836384e+01	4.398967e-03
9.425987206918267e-03	1.992808e+00	1.836848e+01	4.106507e-03
9.426229499419658e-03	1.996307e+00	1.837060e+01	3.865049e-03
9.426495941583365e-03	2.000079e+00	1.837040e+01	3.670480e-03
9.426785158787639e-03	2.004112e+00	1.836811e+01	3.517001e-03
9.427118661722038e-03	2.008708e+00	1.836366e+01	3.389351e-03
9.427469132529686e-03	2.013491e+00	1.835756e+01	3.297741e-03
9.427843271031789e-03	2.018564e+00	1.834997e+01	3.228238e-03
9.428621364396280e-03	2.029040e+00	1.833207e+01	3.143041e-03
9.429861547229775e-03	2.045617e+00	1.830067e+01	3.083967e-03
9.432631675216322e-03	2.082360e+00	1.822696e+01	3.049721e-03
9.469698260849023e-03	2.549649e+00	1.722175e+01	2.879737e-03
9.501510626609295e-03	2.914033e+00	1.634653e+01	2.733105e-03
9.539700541979203e-03	3.308963e+00	1.528152e+01	2.554693e-03
9.579700541979201e-03	3.676033e+00	1.415044e+01	2.365146e-03
9.619700541979199e-03	3.994519e+00	1.300325e+01	2.172940e-03
9.659700541979198e-03	4.265474e+00	1.184044e+01	1.978159e-03
9.699700541979196e-03	4.489939e+00	1.066252e+01	1.780885e-03
9.759700541979194e-03	4.741689e+00	8.868355e+00	1.480454e-03
9.799700541979192e-03	4.854349e+00	7.654770e+00	1.277303e-03
9.839700541979191e-03	4.924014e+00	6.427766e+00	1.071940e-03
9.859700541979190e-03	4.943024e+00	5.809380e+00	9.684777e-04
9.879700541979189e-03	4.951646e+00	5.187817e+00	8.644453e-04
9.899700541979188e-03	4.949995e+00	4.563135e+00	7.599457e-04
9.919700541979187e-03	4.938191e+00	3.935393e+00	6.548959e-04
9.959700541979186e-03	4.884579e+00	2.670961e+00	4.433694e-04
1.001970054197918e-02	4.730867e+00	7.528080e-01	1.225627e-04
1.003970054197918e-02	4.660534e+00	1.079174e-01	1.469040e-05
1.005970054197918e-02	4.580838e+00	-5.396317e-01	-9.357326e-05
1.007970054197918e-02	4.491889e+00	-1.189783e+00	-2.023110e-04
1.009970054197918e-02	4.393795e+00	-1.842481e+00	-3.114215e-04
1.013970054197918e-02	4.170602e+00	-3.155291e+00	-5.309079e-04
1.019970054197918e-02	3.769894e+00	-5.142217e+00	-8.630714e-04
1.025970054197917e-02	3.292584e+00	-7.149078e+00	-1.198465e-03
1.029970054197917e-02	2.933185e+00	-8.497340e+00	-1.423776e-03
1.033970054197917e-02	2.541768e+00	-9.853384e+00	-1.650365e-03
1.037970054197917e-02	2.119121e+00	-1.121679e+01	-1.878161e-03
1.041970054197917e-02	1.666023e+00	-1.258713e+01	-2.107097e-03
1.043970054197917e-02	1.428294e+00	-1.327477e+01	-2.221992e-03
1.045970054197917e-02	1.183238e+00	-1.396399e+01	-2.337102e-03
1.047970054197916e-02	9.309487e-01	-1.465474e+01	-2.452508e-03
1.049970054197916e-02	6.715200e-01	-1.534696e+01	-2.568111e-03
1.051970054197916e-02	4.050443e-01	-1.604061e+01	-2.683995e-03
1.053970054197916e-02	1.316140e-01	-1.673563e+01	-2.800097e-03
1.055970054197916e-02	-1.486768e-01	-1.743197e+01	-2.916746e-03
1.057970054197916e-02	-4.357442e-01	-1.812958e+01	-3.033266e-03
1.059970054197916e-02	-7.294958e-01	-1.882842e+01	-3.149996e-03
1.061970054197916e-02	-1.029842e+00	-1.952843e+01	-3.266871e-03
1.065970054197916e-02	-1.649964e+00	-2.093176e+01	-3.501200e-03
1.069970054197916e-02	-2.295408e+00	-2.233919e+01	-3.736189e-03
1.075970054197915e-02	-3.309546e+00	-2.445714e+01	-4.089793e-03
1.081970054197915e-02	-4.376813e+00	-2.658211e+01	-4.444479e-03
1.089970054197915e-02	-5.878610e+00	-2.942408e+01	-4.918807e-03
1.099970054197914e-02	-7.875175e+00	-3.298624e+01	-5.513259e-03
1.111970054197914e-02	-1.043311e+01	-3.726744e+01	-6.227542e-03
1.117970054197914e-02	-1.177357e+01	-3.940788e+01	-6.584583e-03
1.124220054197913e-02	-1.320966e+01	-4.163576e+01	-6.956333e-03
1.124720054197913e-02	-1.332646e+01	-4.181386e+01	-6.986562e-03
1.126891667521811e-02	-1.383652e+01	-4.258712e+01	-7.119441e-03
1.132608338578346e-02	-1.520058e+01	-4.462039e+01	-7.471198e-03
1.144608338578345e-02	-1.816003e+01	-4.887386e+01	-8.209346e-03
1.162608338578345e-02	-2.281880e+01	-5.519985e+01	-9.310092e-03
1.188608338578344e-02	-2.992730e+01	-6.416871e+01	-1.087563e-02
1.196608338578343e-02	-3.218622e+01	-6.687719e+01	-1.134969e-02
1.196858338578343e-02	-3.225724e+01	-6.696141e+01	-1.136542e-02
1.197358338578343e-02	-3.239935e+01	-6.712969e+01	-1.140208e-02
1.197691606904766e-02	-3.249397e+01	-6.724180e+01	-1.143790e-02
1.198024325426530e-02	-3.258815e+01	-6.735366e+01	-1.149738e-02
1.198371906462656e-02	-3.268593e+01	-6.747046e+01	-1.160671e-02
1.198747593996246e-02	-3.279037e+01	-6.759662e+01	-1.181897e-02
1.199112119717636e-02	-3.288974e+01	-6.771896e+01	-1.218316e-02
1.199204373870658e-02	-3.291437e+01	-6.774991e+01	-1.231131e-02
1.199205640272169e-02	-3.291470e+01	-6.775034e+01	-1.231526e-02
1.199207031826963e-02	-3.291499e+01	-6.775080e+01	-1.233063e-02
1.199209814936552e-02	-3.291519e+01	-6.775173e+01	-1.243062e-02
1.199211918145478e-02	-3.291458e+01	-6.775243e+01	-1.264649e-02
1.199213676363825e-02	-3.291267e+01	-6.775301e+01	-1.309799e-02
1.199215113879468e-02	-3.290887e+01	-6.775346e+01	-1.389615e-02
1.199216459311187e-02	-3.290163e+01	-6.775388e+01	-1.534207e-02
1.199217798866890e-02	-3.288810e+01	-6.775426e+01	-1.795255e-02
1.199219149262445e-02	-3.286332e+01	-6.775460e+01	-2.258249e-02
1.199220622436367e-02	-3.281492e+01	-6.775487e+01	-3.154388e-02
1.199221975013579e-02	-3.273740e+01	-6.775496e+01	-4.574225e-02
1.199223384986986e-02	-3.260053e+01	-6.775481e+01	-7.060868e-02
1.199224728454588e-02	-3.238637e+01	-6.775430e+01	-1.092044e-01
1.199226111036801e-02	-3.203643e+01	-6.775320e+01	-1.719920e-01
1.199227453470676e-02	-3.151815e+01	-6.775134e+01	-2.651233e-01
1.199228791883085e-02	-3.082371e+01	-6.774848e+01	-4.059077e-01
1.199229372980901e-02	-3.050020e+01	-6.774671e+01	-4.939586e-01
1.199230181923289e-02	-3.003335e+01	-6.774367e+01	-6.333193e-01
1.199230718893416e-02	-2.968529e+01	-6.774139e+01	-7.335639e-01
1.199231426167913e-02	-2.915858e+01	-6.773783e+01	-8.863084e-01
1.199232712225531e-02	-2.803008e+01	-6.773011e+01	-1.214478e+00
1.199234185515817e-02	-2.653945e+01	-6.771990e+01	-1.662995e+00
1.199234963505025e-02	-2.567592e+01	-6.771389e+01	-1.922370e+00
1.199236880559156e-02	-2.346320e+01	-6.769766e+01	-2.581596e+00
1.199237388572062e-02	-2.288659e+01	-6.769077e+01	-2.752739e+00
1.199238041484889e-02	-2.217561e+01	-6.767541e+01	-2.965340e+00
1.199238912035326e-02	-2.129241e+01	-6.764268e+01	-3.234299e+00
1.199240653136201e-02	-1.974644e+01	-6.753892e+01	-3.704823e+00
1.199242553041011e-02	-1.838803e+01	-6.734812e+01	-4.110178e+00
1.199244397613275e-02	-1.738973e+01	-6.702679e+01	-4.406331e+00
1.199246102717861e-02	-1.670216e+01	-6.651494e+01	-4.614319e+00
1.199247678765062e-02	-1.622708e+01	-6.569268e+01	-4.766819e+00
1.199249370728711e-02	-1.583310e+01	-6.431036e+01	-4.905714e+00
1.199250185634338e-02	-1.568093e+01	-6.328806e+01	-4.968754e+00
1.199251350172600e-02	-1.550058e+01	-6.121115e+01	-5.060683e+00
1.199252259149736e-02	-1.537957e+01	-5.902323e+01	-5.137707e+00
1.199253240998945e-02	-1.527410e+01	-5.568137e+01	-5.230201e+00
1.199255204697364e-02	-1.509633e+01	-4.679311e+01	-5.452731e+00
1.199256852162859e-02	-1.496574e+01	-3.792785e+01	-5.669613e+00
1.199258504381768e-02	-1.486667e+01	-2.860122e+01	-5.880569e+00
1.199259169113020e-02	-1.483606e+01	-2.511779e+01	-5.955150e+00
1.199259586868758e-02	-1.481854e+01	-2.313019e+01	-5.997898e+00
1.199259972386517e-02	-1.480298e+01	-2.146478e+01	-6.034381e+00
1.199260434941899e-02	-1.478475e+01	-1.969186e+01	-6.074388e+00
1.199261051682409e-02	-1.476141e+01	-1.767419e+01	-6.121550e+00
1.199262285163430e-02	-1.472060e+01	-1.450726e+01	-6.196816e+00
1.199264140635499e-02	-1.467570e+01	-1.110649e+01	-6.272975e+00
1.199265546301653e-02	-1.464955e+01	-9.421948e+00	-6.309662e+00
1.199266956935894e-02	-1.462650e+01	-8.406731e+00	-6.333768e+00
1.199268518511886e-02	-1.460491e+01	-7.756656e+00	-6.350348e+00
