time	V(a)	V(a1)
6.465813203323646e-02	2.155277e-01	2.552023e+01
6.497813203323656e-02	2.165943e-01	2.566753e+01
6.529813203323666e-02	2.176610e-01	2.555566e+01
6.561813203323676e-02	2.187277e-01	2.518576e+01
6.593813203323685e-02	2.197943e-01	2.456156e+01
6.623813203323695e-02	2.207943e-01	2.375098e+01
6.653813203323704e-02	2.217943e-01	2.272961e+01
6.683813203323713e-02	2.227943e-01	2.150651e+01
6.713813203323722e-02	2.237943e-01	2.009254e+01
6.757813203323736e-02	2.252610e-01	1.770005e+01
6.765813203323738e-02	2.255277e-01	1.722732e+01
6.769813203323739e-02	2.256610e-01	1.698684e+01
6.813813203323753e-02	2.271277e-01	1.417306e+01
6.857813203323766e-02	2.285943e-01	1.108889e+01
6.901813203323780e-02	2.300610e-01	7.793184e+00
6.945813203323793e-02	2.315276e-01	4.348804e+00
6.987813203323806e-02	2.329276e-01	9.826465e-01
6.999813203323810e-02	2.333276e-01	1.517790e-02
7.009813203323813e-02	2.336610e-01	-7.911197e-01
7.047813203323824e-02	2.349276e-01	-3.841186e+00
7.089813203323837e-02	2.363276e-01	-7.146946e+00
7.131813203323850e-02	2.377276e-01	-1.032846e+01
7.173813203323863e-02	2.391276e-01	-1.333041e+01
7.217813203323876e-02	2.405943e-01	-1.622592e+01
7.235813203323882e-02	2.411943e-01	-1.732417e+01
7.239813203323883e-02	2.413276e-01	-1.756081e+01
7.247813203323886e-02	2.415943e-01	-1.802572e+01
7.291813203323899e-02	2.430610e-01	-2.037165e+01
7.321813203323908e-02	2.440609e-01	-2.175077e+01
7.351813203323918e-02	2.450610e-01	-2.293685e+01
7.381813203323927e-02	2.460610e-01	-2.391936e+01
7.411813203323936e-02	2.470609e-01	-2.468958e+01
7.441813203323945e-02	2.480609e-01	-2.524068e+01
7.473813203323955e-02	2.491276e-01	-2.558152e+01
7.505813203323965e-02	2.501943e-01	-2.566407e+01
7.537813203323974e-02	2.512609e-01	-2.548748e+01
7.569813203323984e-02	2.523276e-01	-2.505354e+01
7.599813203323993e-02	2.533276e-01	-2.441686e+01
7.629813203324003e-02	2.543276e-01	-2.356348e+01
7.659813203324012e-02	2.553276e-01	-2.250097e+01
7.689813203324021e-02	2.563276e-01	-2.123875e+01
7.721813203324031e-02	2.573943e-01	-1.968492e+01
7.745813203324038e-02	2.581943e-01	-1.838817e+01
7.751813203324040e-02	2.583943e-01	-1.804735e+01
7.755813203324041e-02	2.585276e-01	-1.781656e+01
7.763813203324044e-02	2.587942e-01	-1.734655e+01
7.807813203324057e-02	2.602609e-01	-1.457393e+01
7.851813203324071e-02	2.617276e-01	-1.152327e+01
7.895813203324084e-02	2.631942e-01	-8.252783e+00
7.939813203324098e-02	2.646609e-01	-4.824856e+00
7.983813203324111e-02	2.661276e-01	-1.304885e+00
7.997813203324115e-02	2.665942e-01	-1.764501e-01
8.005813203324118e-02	2.668609e-01	4.686581e-01
8.041813203324129e-02	2.680609e-01	3.362134e+00
8.081813203324141e-02	2.693942e-01	6.525132e+00
8.123813203324154e-02	2.707942e-01	9.734654e+00
8.145813203324161e-02	2.715276e-01	1.135172e+01
8.187813203324174e-02	2.729276e-01	1.428204e+01
8.231813203324187e-02	2.743942e-01	1.708479e+01
8.249813203324192e-02	2.749942e-01	1.814026e+01
8.253813203324194e-02	2.751276e-01	1.836703e+01
8.261813203324196e-02	2.753942e-01	1.881184e+01
8.305813203324210e-02	2.768609e-01	2.103867e+01
8.335813203324219e-02	2.778609e-01	2.232914e+01
8.365813203324228e-02	2.788609e-01	2.342143e+01
8.395813203324237e-02	2.798609e-01	2.430586e+01
8.425813203324246e-02	2.808609e-01	2.497456e+01
8.455813203324256e-02	2.818609e-01	2.542161e+01
8.485813203324265e-02	2.828609e-01	2.564304e+01
8.515813203324274e-02	2.838609e-01	2.563688e+01
8.545813203324283e-02	2.848609e-01	2.540318e+01
8.575813203324292e-02	2.858609e-01	2.494402e+01
8.605813203324301e-02	2.868609e-01	2.426348e+01
8.635813203324311e-02	2.878609e-01	2.336759e+01
8.665813203324320e-02	2.888609e-01	2.226431e+01
8.695813203324329e-02	2.898609e-01	2.096342e+01
8.731813203324340e-02	2.910609e-01	1.915789e+01
8.737813203324342e-02	2.912609e-01	1.883249e+01
8.741813203324343e-02	2.913942e-01	1.861183e+01
8.761813203324349e-02	2.920609e-01	1.746509e+01
8.805813203324363e-02	2.935275e-01	1.470640e+01
8.849813203324376e-02	2.949942e-01	1.166715e+01
8.893813203324390e-02	2.964608e-01	8.405333e+00
8.937813203324403e-02	2.979275e-01	4.983161e+00
8.981813203324417e-02	2.993942e-01	1.465926e+00
8.997813203324422e-02	2.999275e-01	1.764410e-01
9.005813203324424e-02	3.001942e-01	-4.686677e-01
9.039813203324434e-02	3.013275e-01	-3.202181e+00
9.079813203324447e-02	3.026608e-01	-6.369026e+00
9.121813203324459e-02	3.040608e-01	-9.585235e+00
9.163813203324472e-02	3.054608e-01	-1.263481e+01
9.207813203324486e-02	3.069275e-01	-1.559315e+01
9.251813203324499e-02	3.083942e-01	-1.825402e+01
9.265813203324504e-02	3.088608e-01	-1.902987e+01
9.269813203324505e-02	3.089941e-01	-1.924484e+01
9.279813203324508e-02	3.093275e-01	-1.976888e+01
9.321813203324521e-02	3.107275e-01	-2.175106e+01
9.351813203324530e-02	3.117275e-01	-2.293717e+01
9.379813203324538e-02	3.126608e-01	-2.386072e+01
9.409813203324548e-02	3.136608e-01	-2.464534e+01
9.439813203324557e-02	3.146608e-01	-2.521124e+01
9.469813203324566e-02	3.156608e-01	-2.555337e+01
9.499813203324575e-02	3.166608e-01	-2.566871e+01
9.529813203324584e-02	3.176608e-01	-2.555623e+01
9.559813203324594e-02	3.186608e-01	-2.521693e+01
9.589813203324603e-02	3.196608e-01	-2.465383e+01
9.619813203324612e-02	3.206608e-01	-2.387191e+01
9.647813203324621e-02	3.215941e-01	-2.295080e+01
9.677813203324630e-02	3.225941e-01	-2.176719e+01
9.715813203324641e-02	3.238608e-01	-1.999211e+01
9.721813203324643e-02	3.240608e-01	-1.968511e+01
9.725813203324644e-02	3.241941e-01	-1.947655e+01
9.769813203324658e-02	3.256608e-01	-1.698682e+01
9.813813203324671e-02	3.271275e-01	-1.417304e+01
9.857813203324685e-02	3.285941e-01	-1.108887e+01
9.901813203324698e-02	3.300608e-01	-7.793159e+00
9.945813203324712e-02	3.315274e-01	-4.348777e+00
9.987813203324725e-02	3.329274e-01	-9.826193e-01
9.999813203324728e-02	3.333274e-01	-1.515007e-02
1.000981320332473e-01	3.336608e-01	7.911482e-01
1.004581320332474e-01	3.348608e-01	3.681670e+00
1.008581320332475e-01	3.361941e-01	6.836602e+00
1.012781320332477e-01	3.375941e-01	1.003237e+01
1.016981320332478e-01	3.389941e-01	1.305373e+01
1.019381320332479e-01	3.397941e-01	1.468155e+01
1.023781320332480e-01	3.412608e-01	1.744286e+01
1.028181320332481e-01	3.427274e-01	1.987142e+01
1.028781320332482e-01	3.429274e-01	2.017416e+01
1.029581320332482e-01	3.431941e-01	2.056663e+01
1.033981320332483e-01	3.446608e-01	2.248674e+01
1.036781320332484e-01	3.455941e-01	2.348726e+01
