time	V(C,E)	V(p1)	Ic(Q1)
Step Information: Ib=11µ  (Step: 1/6)
8.283310719962181e-01	1.861568e-01	8.583447e+02	1.013425e-02
8.292310719962180e-01	2.034035e-01	8.538447e+02	1.016367e-02
8.300310719962180e-01	2.242325e-01	8.498447e+02	1.018432e-02
8.308310719962179e-01	2.512710e-01	8.458447e+02	1.019865e-02
8.319310719962177e-01	2.964803e-01	8.403447e+02	1.021011e-02
8.377310719962171e-01	5.626950e-01	8.113447e+02	1.024253e-02
8.590310719962148e-01	1.560011e+00	7.048447e+02	1.035730e-02
8.892310719962114e-01	3.012949e+00	5.538447e+02	1.052453e-02
9.197310719962081e-01	4.528726e+00	4.013446e+02	1.069899e-02
9.645310719962031e-01	6.848575e+00	1.773446e+02	1.096601e-02
9.999310719961992e-01	8.765214e+00	3.446400e-01	1.118662e-02
1.000000000000000e+00	8.769017e+00	1.000000e-08	1.118706e-02
