time	V(b1)	V(b2)	V(e)	V(rpot)	I(R3)	I(R4)	Ix(U1:B2)	Ix(U1:E)
1.376329569878348e-04	1.001976e-01	1.954456e+01	2.048820e+00	5.505318e+02	4.554435e-03	4.554435e-03	4.554435e-03	-2.732767e-11
1.376597191408840e-04	8.863737e-02	1.959710e+01	2.050767e+00	5.506389e+02	4.028972e-03	4.028972e-03	4.028972e-03	-2.870139e-11
1.376903139917590e-04	8.080818e-02	1.963269e+01	2.052992e+00	5.507612e+02	3.673099e-03	3.673099e-03	3.673099e-03	-2.963084e-11
1.377273619033031e-04	7.570610e-02	1.965588e+01	2.055686e+00	5.509094e+02	3.441186e-03	3.441186e-03	3.441186e-03	-3.023529e-11
1.377722119561553e-04	7.275470e-02	1.966930e+01	2.058946e+00	5.510889e+02	3.307032e-03	3.307032e-03	3.307032e-03	-3.058324e-11
1.378293321655233e-04	7.124460e-02	1.967616e+01	2.063098e+00	5.513173e+02	3.238391e-03	3.238391e-03	3.238391e-03	-3.075879e-11
1.379036329715588e-04	7.062437e-02	1.967898e+01	2.068496e+00	5.516145e+02	3.210199e-03	3.210199e-03	3.210199e-03	-3.082720e-11
1.385882633552850e-04	7.048978e-02	1.967959e+01	2.118128e+00	5.543530e+02	3.204081e-03	3.204081e-03	3.204081e-03	-3.079359e-11
1.392728937390112e-04	7.038960e-02	1.968005e+01	2.167558e+00	5.570916e+02	3.199527e-03	3.199527e-03	3.199527e-03	-3.075608e-11
1.399575241227374e-04	7.032382e-02	1.968034e+01	2.216787e+00	5.598301e+02	3.196537e-03	3.196537e-03	3.196537e-03	-3.071468e-11
1.406421545064635e-04	7.029244e-02	1.968049e+01	2.265815e+00	5.625686e+02	3.195111e-03	3.195111e-03	3.195111e-03	-3.066938e-11
1.413267848901897e-04	7.029546e-02	1.968047e+01	2.314642e+00	5.653071e+02	3.195249e-03	3.195249e-03	3.195249e-03	-3.062020e-11
1.420114152739159e-04	7.033289e-02	1.968030e+01	2.363267e+00	5.680457e+02	3.196950e-03	3.196950e-03	3.196950e-03	-3.056712e-11
1.426960456576420e-04	7.040472e-02	1.967998e+01	2.411691e+00	5.707842e+02	3.200215e-03	3.200215e-03	3.200215e-03	-3.051014e-11
1.475228169096759e-04	7.040472e-02	1.967998e+01	2.747594e+00	5.900912e+02	3.200215e-03	3.200215e-03	3.200215e-03	-3.017422e-11
1.571763594137576e-04	7.040472e-02	1.967998e+01	3.391666e+00	6.287054e+02	3.200215e-03	3.200215e-03	3.200215e-03	-2.953011e-11
1.764834444219071e-04	7.040472e-02	1.967998e+01	4.579045e+00	7.059338e+02	3.200215e-03	3.200215e-03	3.200215e-03	-2.834276e-11
2.150976144382061e-04	7.040472e-02	1.967998e+01	6.615742e+00	8.603904e+02	3.200215e-03	3.200215e-03	3.200215e-03	-2.630609e-11
2.923259544708179e-04	7.040475e-02	1.967998e+01	1.007010e+01	1.169304e+03	3.200216e-03	3.200216e-03	3.200216e-03	-2.285174e-11
3.031180245354204e-04	7.040475e-02	1.967998e+01	1.047675e+01	1.212472e+03	3.200216e-03	3.200216e-03	3.200216e-03	-2.244468e-11
3.300981996969404e-04	7.040474e-02	1.967998e+01	1.135232e+01	1.320393e+03	3.200216e-03	3.200216e-03	3.200216e-03	-1.016061e-11
3.408902697615429e-04	7.040487e-02	1.967998e+01	1.167492e+01	1.363561e+03	3.200222e-03	3.200222e-03	3.200222e-03	1.583847e-10
3.435882872776935e-04	7.040629e-02	1.967997e+01	1.175363e+01	1.374353e+03	3.200284e-03	3.200286e-03	3.200284e-03	1.878158e-09
3.489843223099948e-04	7.041664e-02	1.967993e+01	1.190779e+01	1.395937e+03	3.200742e-03	3.200756e-03	3.200742e-03	1.452864e-08
3.503333310680701e-04	7.043807e-02	1.967983e+01	1.194586e+01	1.401333e+03	3.201690e-03	3.201731e-03	3.201690e-03	4.097491e-08
3.530313485842207e-04	7.057234e-02	1.967924e+01	1.202122e+01	1.412125e+03	3.207626e-03	3.207834e-03	3.207626e-03	2.081886e-07
3.537058529632653e-04	7.067913e-02	1.967876e+01	1.203996e+01	1.414823e+03	3.212340e-03	3.212688e-03	3.212340e-03	3.471799e-07
3.538744790580195e-04	7.074013e-02	1.967850e+01	1.204462e+01	1.415498e+03	3.215028e-03	3.215461e-03	3.215028e-03	4.327803e-07
3.539166355817081e-04	7.076630e-02	1.967838e+01	1.204579e+01	1.415667e+03	3.216176e-03	3.216650e-03	3.216176e-03	4.735824e-07
3.540009486290852e-04	7.083873e-02	1.967806e+01	1.204812e+01	1.416004e+03	3.219349e-03	3.219943e-03	3.219349e-03	5.939419e-07
3.540220268909294e-04	7.086667e-02	1.967794e+01	1.204871e+01	1.416088e+03	3.220567e-03	3.221212e-03	3.220567e-03	6.450512e-07
3.540641834146180e-04	7.094552e-02	1.967760e+01	1.204987e+01	1.416257e+03	3.223996e-03	3.224797e-03	3.223996e-03	8.005865e-07
3.540747225455471e-04	7.097382e-02	1.967748e+01	1.205016e+01	1.416299e+03	3.225219e-03	3.226083e-03	3.225219e-03	8.638031e-07
3.540958008073913e-04	7.104960e-02	1.967715e+01	1.205074e+01	1.416383e+03	3.228479e-03	3.229527e-03	3.228479e-03	1.048840e-06
3.541010703728559e-04	7.107468e-02	1.967704e+01	1.205089e+01	1.416404e+03	3.229550e-03	3.230667e-03	3.229550e-03	1.117668e-06
3.541116095037850e-04	7.113763e-02	1.967678e+01	1.205118e+01	1.416446e+03	3.232223e-03	3.233528e-03	3.232223e-03	1.305567e-06
3.541142442865103e-04	7.115674e-02	1.967670e+01	1.205125e+01	1.416457e+03	3.233030e-03	3.234397e-03	3.233030e-03	1.367964e-06
3.541195138519748e-04	7.120883e-02	1.967648e+01	1.205140e+01	1.416478e+03	3.235199e-03	3.236765e-03	3.235199e-03	1.565775e-06
3.541300529829039e-04	7.134666e-02	1.967591e+01	1.205169e+01	1.416520e+03	3.240870e-03	3.243030e-03	3.240870e-03	2.159527e-06
3.541326877656292e-04	7.139946e-02	1.967570e+01	1.205176e+01	1.416531e+03	3.242983e-03	3.245430e-03	3.242983e-03	2.446614e-06
3.541379573310938e-04	7.154751e-02	1.967512e+01	1.205191e+01	1.416552e+03	3.248776e-03	3.252160e-03	3.248776e-03	3.383493e-06
3.541392747224564e-04	7.160069e-02	1.967492e+01	1.205194e+01	1.416557e+03	3.250777e-03	3.254577e-03	3.250777e-03	3.799167e-06
3.541419095051818e-04	7.174381e-02	1.967440e+01	1.205202e+01	1.416568e+03	3.256000e-03	3.261082e-03	3.256000e-03	5.080439e-06
3.541425682008631e-04	7.179198e-02	1.967423e+01	1.205204e+01	1.416570e+03	3.257681e-03	3.263272e-03	3.257681e-03	5.589254e-06
3.541438855922258e-04	7.191478e-02	1.967382e+01	1.205207e+01	1.416576e+03	3.261815e-03	3.268854e-03	3.261815e-03	7.038463e-06
3.541442149400664e-04	7.195293e-02	1.967369e+01	1.205208e+01	1.416577e+03	3.263046e-03	3.270588e-03	3.263046e-03	7.541115e-06
3.541448736357478e-04	7.206237e-02	1.967337e+01	1.205210e+01	1.416579e+03	3.266302e-03	3.275563e-03	3.266302e-03	9.260123e-06
3.541461910271104e-04	7.236857e-02	1.967253e+01	1.205213e+01	1.416585e+03	3.274727e-03	3.289480e-03	3.274727e-03	1.475367e-05
3.541465203749511e-04	7.250617e-02	1.967221e+01	1.205214e+01	1.416586e+03	3.277892e-03	3.295735e-03	3.277892e-03	1.784335e-05
3.541471790706324e-04	7.294510e-02	1.967133e+01	1.205216e+01	1.416589e+03	3.286706e-03	3.315686e-03	3.286706e-03	2.898006e-05
3.541473437445597e-04	7.315112e-02	1.967101e+01	1.205217e+01	1.416589e+03	3.289923e-03	3.325051e-03	3.289923e-03	3.512789e-05
3.541476730924004e-04	7.382680e-02	1.967013e+01	1.205217e+01	1.416591e+03	3.298742e-03	3.355764e-03	3.298742e-03	5.702358e-05
3.541477554293571e-04	7.414811e-02	1.966982e+01	1.205218e+01	1.416591e+03	3.301853e-03	3.370369e-03	3.301853e-03	6.851840e-05
3.541479201032843e-04	7.519576e-02	1.966899e+01	1.205218e+01	1.416592e+03	3.310125e-03	3.417989e-03	3.310125e-03	1.079070e-04
3.541479612717696e-04	7.566310e-02	1.966871e+01	1.205218e+01	1.416592e+03	3.312871e-03	3.439232e-03	3.312871e-03	1.264136e-04
3.541480436087263e-04	7.710641e-02	1.966802e+01	1.205218e+01	1.416592e+03	3.319795e-03	3.504837e-03	3.319795e-03	1.850525e-04
3.541480641929690e-04	7.766766e-02	1.966781e+01	1.205219e+01	1.416592e+03	3.321914e-03	3.530348e-03	3.321914e-03	2.084475e-04
3.541481053614542e-04	8.027729e-02	1.966720e+01	1.205219e+01	1.416592e+03	3.327954e-03	3.648968e-03	3.327954e-03	3.210547e-04
3.541481876984109e-04	9.082770e-02	1.966554e+01	1.205219e+01	1.416593e+03	3.344600e-03	4.128532e-03	3.344600e-03	7.839461e-04
3.541482082826536e-04	9.877963e-02	1.966494e+01	1.205219e+01	1.416593e+03	3.350582e-03	4.489983e-03	3.350582e-03	1.139413e-03
3.541482494511389e-04	1.391566e-01	1.966338e+01	1.205219e+01	1.416593e+03	3.366161e-03	6.325302e-03	3.366161e-03	2.959238e-03
3.541482835821425e-04	2.309902e-01	1.966190e+01	1.205218e+01	1.416593e+03	3.381006e-03	1.049955e-02	3.381006e-03	7.118746e-03
3.541483205048296e-04	4.911193e-01	1.966018e+01	1.205217e+01	1.416593e+03	3.398150e-03	2.232361e-02	3.398150e-03	1.891916e-02
3.541483594222267e-04	1.064712e+00	1.965857e+01	1.205215e+01	1.416593e+03	3.414321e-03	4.839600e-02	3.414321e-03	4.496787e-02
3.541484065394673e-04	2.103269e+00	1.965704e+01	1.205209e+01	1.416594e+03	3.429605e-03	9.560313e-02	3.429605e-03	9.216300e-02
3.541484261475880e-04	2.591013e+00	1.965658e+01	1.205205e+01	1.416594e+03	3.434153e-03	1.177733e-01	3.434153e-03	1.143309e-01
3.541484430239356e-04	2.968032e+00	1.965633e+01	1.205200e+01	1.416594e+03	3.436720e-03	1.349106e-01	3.436720e-03	1.314691e-01
